fips,opioid_factor,year
26139,3.963169855500001E8,2007
693,1.281785942E8,2007
48477,3.44920184E7,2007
4939,5.3510967099999994E7,2007
28145,7.24611242E7,2007
531,3.369522882500001E8,2007
4299,7.18632405E7,2007
26113,1.078764275E7,2007
48399,1.380265E7,2007
3145,7986525.0,2007
2519,3.386085E7,2007
91,1.6550955242499995E9,2007
4241,3.956030604E8,2007
18169,1.159999521E8,2007
2087,8084015.0,2007
445,1.3144896535000001E8,2007
31139,1742534.2,2007
13129,4.2011465734E9,2007
3821,8.20458475E8,2007
1653,2.082173355E7,2007
22113,2.4212770235E8,2007
51169,8.452388355E7,2007
1329,1.5812290355E8,2007
1239,9.99325821E7,2007
6109,3.940922003E8,2007
3553,1.3333610650000002E7,2007
671,1.2036208404399992E10,2007
37137,3.2962725E7,2007
4089,8.353804760000001E7,2007
27117,1.1154185E7,2007
59,4.8698580650000006E7,2007
13143,1.564721668275E10,2007
4851,1.4226217100000001E7,2007
2093,2609750.0,2007
1781,6.125091276E8,2007
2661,2.63140505E7,2007
3793,3.624672E7,2007
5495,1.78608513E7,2007
2317,1.3292950919999999E8,2007
4713,2.0344496010000002E8,2007
4291,3.0513479212875013E9,2007
51199,4.6678829849999994E7,2007
4955,5334417.75,2007
40129,2574475.0,2007
18165,3.1546355E7,2007
19125,7.309669855E7,2007
51101,5.9904007099999994E7,2007
42123,6.95191034E7,2007
5569,2.39955834E7,2007
48203,7.456590245E7,2007
13109,2.95783255E7,2007
165,1.1882995019999999E8,2007
12105,4.796802112725002E9,2007
27111,1.842651205E8,2007
19145,1.8638086150000002E7,2007
5021,1.3831301195000002E8,2007
441,5.55386013E7,2007
5449,2.2633343889999998E8,2007
47105,1.031824955E8,2007
4037,1.7673131745E8,2007
189,2.79620946025E9,2007
4591,2.2652415753500004E9,2007
2053,3609685.0,2007
1815,1.9051015E7,2007
4235,2.2175523195000005E8,2007
1837,2.816906045E9,2007
97,2.5698134845E8,2007
17131,6855900.0,2007
2023,4124750.0,2007
2689,1.7574425E7,2007
39115,1.939515E7,2007
595,1.61322742E7,2007
5557,2.339149E7,2007
4079,1.0038055745E8,2007
5371,1.9745310745000002E8,2007
5171,5.2351535E7,2007
28129,7654658.55,2007
47123,1.744268668E8,2007
48497,5.1764867099999994E7,2007
3649,1.676441E7,2007
1939,7023675.0,2007
4839,6.945160105E8,2007
4943,7.871585855E7,2007
4649,2748633.55,2007
1777,8.840095589999999E7,2007
4813,4.50013671E7,2007
1377,5.9817587455E8,2007
48369,2.8630235E7,2007
220,5.631511746000001E8,2007
3819,1514125.0,2007
37165,1.25450245E8,2007
13153,6.811746236E8,2007
2445,6.316820102E8,2007
2157,1.937926195E7,2007
1743,1.99824373355E9,2007
1643,1.35702E7,2007
3095,5621050.0,2007
39141,2.4393039135E8,2007
48297,7480865.0,2007
17115,3.710024848E8,2007
2919,4.1272126645000005E8,2007
39149,9.205036564999999E7,2007
361,3.950479699499999E8,2007
493,1.109899921E8,2007
17191,1.98142468E7,2007
843,5.90029655E7,2007
4771,5.373629355E7,2007
22121,1.165651413E8,2007
5163,1.71295342E7,2007
3875,548358.55,2007
2965,2.409414905E7,2007
2897,1.718315E7,2007
501,6.572663275E7,2007
4863,3.589296695E7,2007
1765,1.237448355E7,2007
2151,1.548417681E8,2007
1129,5071500.0,2007
1899,7.46274218E7,2007
21219,2.9787795E7,2007
3223,9.72764242E7,2007
4723,2.287785855E7,2007
881,1.442928355E7,2007
2751,1.220154355E7,2007
3695,1.5843787615E8,2007
3193,1900483.55,2007
229,3.3653581485E8,2007
13245,4.01047652E8,2007
19119,1.2829255E7,2007
591,8.922142035E7,2007
19147,4363735.5,2007
20207,4155708.55,2007
28139,2.696103355E7,2007
2187,2.546154135E7,2007
26111,1.84669242E8,2007
379,6.604958355E7,2007
1621,3.480032355E7,2007
425,1.560585152E8,2007
125,1.3060192206E9,2007
313,1636250.0,2007
51600,1.2084200313E9,2007
2861,2.1490465855E8,2007
89,2947733.55,2007
18117,5.408820355E7,2007
4829,2.26699208105E9,2007
13283,1.335579775E7,2007
2263,4.9342656585E8,2007
1773,1.97180171E7,2007
2235,4547775.0,2007
159,1.8206214339999998E8,2007
4749,8.859742564999999E7,2007
465,1.039210855E7,2007
37155,2.5594818575000006E8,2007
3129,2136717.75,2007
13287,1.16985505E7,2007
29141,2.153004355E7,2007
48121,1.3532820686000001E9,2007
13183,6103875.0,2007
333,1.599371163E8,2007
5019,4.389381035E7,2007
285,1.57780105E7,2007
3621,1.4220967404999998E8,2007
3053,1.162535342E8,2007
3159,3117670.0,2007
2825,3.687425E7,2007
3415,7.527738260999999E8,2007
13191,1.766873565E7,2007
2331,4.113852752000001E8,2007
18139,6.078225E7,2007
2959,1.3620628400000002E7,2007
545,7.43239768E7,2007
5131,6.2938145E7,2007
55117,7.096015975999999E8,2007
13269,1.1332465649999999E7,2007
48319,2629450.0,2007
3829,5.0750645E7,2007
3029,2.0418740035E8,2007
2769,1074050.0,2007
4097,9.900731455E7,2007
27129,8653983.55,2007
2153,3.6550892099999994E7,2007
4253,9747200.0,2007
5641,3.4702705E7,2007
29119,1.77707421E7,2007
5529,2.830104355E7,2007
47133,3.58056692E7,2007
2799,2.291079355E7,2007
3929,2.1115737875000003E8,2007
5629,8.43131052E7,2007
4651,1.3216125E7,2007
19135,7103950.0,2007
5615,1.056653355E7,2007
4743,1.18124842E8,2007
4695,1195008.55,2007
4689,1112000.0,2007
22125,1.2102775E8,2007
3917,8.469619218999999E8,2007
22117,1.6285404760000002E8,2007
4899,4.509155E7,2007
1219,2.1985908431499996E9,2007
57,2.885444783E8,2007
39161,2.74898442E7,2007
21169,1.4258075E7,2007
2035,4.138480855E7,2007
847,1735000.0,2007
1397,7.737121033999999E8,2007
5585,5.63105989E7,2007
4569,4.009027E7,2007
20121,1.480522542E8,2007
31135,184500.0,2007
673,9.338073829600004E9,2007
4765,1.8858729413999999E9,2007
187,1.70978171E7,2007
48455,3.07244842E7,2007
393,1.4035448445E8,2007
48325,2.056630855E7,2007
47179,5.769086433E8,2007
48415,2.666343355E7,2007
51153,3.781365212000001E8,2007
2323,8.792802855E7,2007
1823,1.1412462E8,2007
2863,1612225.0,2007
4747,1.1215956855E8,2007
3531,3.6802605E7,2007
4141,2.4026666904999998E8,2007
697,2.0139866816E9,2007
3527,8.21049671E7,2007
4629,6.8255015E7,2007
13163,3.8615435E7,2007
2729,5172980.0,2007
865,1.1908052599999998E7,2007
21101,1.35898347535E9,2007
27101,8055535.0,2007
17193,3.33326592E7,2007
1125,3.8977793845000005E8,2007
5179,2840000.0,2007
243,1.5534408943999999E9,2007
5517,5.4485745650000006E7,2007
897,1.293649355E7,2007
3181,1007150.0,2007
259,1.8905449875999997E9,2007
2767,2.988035695E7,2007
42133,1.2555963344499998E9,2007
3061,3445233.55,2007
4047,2.234800913E8,2007
27135,2.3680425775E8,2007
29201,2.249621515E8,2007
2859,3.436080289000001E8,2007
1981,3872783.55,2007
1789,4.8462030215000004E8,2007
51171,1.33806955E8,2007
3643,1.1889389419999999E8,2007
2623,5.52971413E7,2007
48107,4859033.55,2007
5511,683285.0,2007
17177,2.737137275E7,2007
40109,4.467516584850004E9,2007
19157,6.11225342E7,2007
19103,6.06345255E7,2007
19173,2993623.55,2007
5177,1.13289E7,2007
47171,1.5791743760000002E8,2007
3025,4.449598855E7,2007
4043,7858950.0,2007
39151,7.282206802000002E8,2007
4643,1382725.0,2007
4033,7748683.55,2007
13113,1.9456021352500004E8,2007
19101,1.20466842E7,2007
48465,1.36037E7,2007
21125,2.179633363E8,2007
29161,3.017558928600001E9,2007
21157,3.083468355E7,2007
48115,1.880265E7,2007
19131,2094623.55,2007
18137,8.050831310000001E7,2007
1945,4.067076405E7,2007
4143,4.028822765E8,2007
37123,9.279083455E7,2007
5551,2717550.0,2007
3993,6.244003952499999E8,2007
2921,1.831672728E8,2007
3669,1.9664678855E8,2007
305,6325375.0,2007
4533,6.40448597E7,2007
18101,1.7889E7,2007
4837,2.743472789E8,2007
5325,1.65320371E8,2007
1943,7426060.0,2007
2951,8.021541475E7,2007
1863,3.453913394E8,2007
21159,5.6748232099999994E7,2007
48171,3.96521084E7,2007
13289,1574584.2,2007
5337,8.395621275E7,2007
549,6.387915245E7,2007
5479,2.3473539985000002E8,2007
12117,4.062360302750002E9,2007
507,3.362718726000001E8,2007
51109,2.668149355E7,2007
47165,5.214164245500001E8,2007
17103,8.0693275E7,2007
4897,7.546692839999999E7,2007
871,2.500917565E7,2007
2957,1.27072713E7,2007
48259,5.101055E7,2007
21131,3.46200592E7,2007
1395,6.961595568E8,2007
47103,6.3756839195E8,2007
21225,2.409405E7,2007
2011,7.236628355E7,2007
3099,7841550.0,2007
2843,6.857598825E7,2007
135,3.27137421E7,2007
125,5.291290775E7,2007
26121,2.6639471460000002E8,2007
4889,2.91016342E7,2007
48495,6433983.55,2007
67,9.055645815499998E8,2007
161,3.42889242E7,2007
3655,9.4624659295E8,2007
2717,3.8601264050000004E7,2007
47149,6.9845330745E8,2007
39135,7.771486195E7,2007
3835,7.926942114999999E7,2007
26125,2.2288605011499996E9,2007
2439,2.731039355E7,2007
2741,7.820702099999999E7,2007
5103,4.473027695E7,2007
5463,2.470316E7,2007
3727,2.6918196940000004E8,2007
367,5.2704302635E8,2007
48327,1766650.0,2007
425,1.196559475378E9,2007
357,7.4761195E7,2007
149,4.0383621920000005E8,2007
48487,4.58268092E7,2007
325,2.8608372395000005E8,2007
561,4.37612013E7,2007
1921,5039167.75,2007
18111,2.128525E7,2007
17195,5.549403855E7,2007
4769,4.0069875650000006E7,2007
475,3.05959E7,2007
1983,2.890582275E7,2007
1613,1.91195605E7,2007
4847,9510950.0,2007
4875,1.6707717100000001E7,2007
4059,1472750.0,2007
261,4.25459671E7,2007
429,1.3982712905E8,2007
47143,1.0631228615E8,2007
5469,8.796734485E7,2007
4783,1.9491865E7,2007
39125,3.224253355E7,2007
29207,9.319839615E7,2007
411,4.277323892E8,2007
5539,7.237492905E7,2007
18105,2.815282822E8,2007
573,2.207150855E7,2007
37103,7242250.0,2007
37119,4.1439922556000013E9,2007
55141,5.76113692E7,2007
523,4.674347355E7,2007
449,1.965524838E8,2007
321,3.289886141E8,2007
1271,4.990752650050002E9,2007
4815,3.2614121950000003E7,2007
2955,8.396301855E7,2007
48383,2013625.0,2007
5613,5.89144821E7,2007
3151,1529250.0,2007
48271,689225.0,2007
873,5804101.95,2007
565,1.0554930335E8,2007
17,4.8406682099999994E7,2007
467,880717.1000000001,2007
1751,9.6269638355E8,2007
42101,3.2484871842500005E9,2007
48199,7.467495355E7,2007
29169,1.120993755E8,2007
1391,5.77488313E7,2007
51183,9839725.0,2007
5631,2.233658355E7,2007
217,1.5208835E7,2007
1337,3436825.0,2007
18159,3.393954E7,2007
3841,4.64877775E7,2007
2057,2.66822855E7,2007
5147,7.605454775E7,2007
5487,6.835964E7,2007
1891,2.000409511E8,2007
555,1.3686537614999998E8,2007
2027,1.383828355E7,2007
46103,1.088284631E8,2007
5185,2.014553547E8,2007
1955,7443458.55,2007
48177,1.7020046E7,2007
37151,2.3790472665000004E8,2007
13181,1.60341605E7,2007
21145,2.167333305E8,2007
29203,1.0207725E7,2007
3217,3939250.0,2007
5311,1.1509193707999997E9,2007
2021,5.9264646150000006E7,2007
5499,7.46780055E7,2007
3999,7.600596489499999E8,2007
5129,9448148.55,2007
4819,9954876.95,2007
5623,4.256201775E7,2007
4753,6.773467339999999E7,2007
40141,1.32597E7,2007
1931,5459983.55,2007
5139,9.724161355E7,2007
381,6539965.0,2007
3085,1.618389925E8,2007
31151,1.9896485E7,2007
37159,2.9228645405E8,2007
