buyer_state,buyer_county,drug_name,quantity,transaction_date,dosage_unit,dos_str
MA,MIDDLESEX,HYDROCODONE,1.0,12262012,100.0,10.0
AZ,MARICOPA,HYDROCODONE,4.0,03112009,40.0,5.0
AZ,MARICOPA,HYDROCODONE,40.0,11252008,1200.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,06122009,600.0,7.5
AZ,MARICOPA,HYDROCODONE,10.0,10022009,300.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,03232010,600.0,5.0
AZ,MARICOPA,HYDROCODONE,5.0,10112007,75.0,5.0
AZ,MARICOPA,HYDROCODONE,10.0,01112008,150.0,5.0
AZ,MARICOPA,HYDROCODONE,10.0,07142008,150.0,5.0
AZ,MARICOPA,HYDROCODONE,10.0,12052012,150.0,5.0
AZ,MARICOPA,HYDROCODONE,10.0,07242012,200.0,5.0
AZ,MARICOPA,HYDROCODONE,10.0,01072008,300.0,7.5
CA,VENTURA,HYDROCODONE,20.0,02092007,200.0,5.0
AZ,MARICOPA,HYDROCODONE,40.0,09122007,1200.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,11072008,600.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,10122009,600.0,7.5
AZ,MARICOPA,HYDROCODONE,10.0,02042012,300.0,7.5
AZ,MARICOPA,HYDROCODONE,10.0,01172011,200.0,5.0
CO,PUEBLO,HYDROCODONE,10.0,01122009,150.0,5.0
AZ,MARICOPA,HYDROCODONE,4.0,11052009,24.0,5.0
AZ,MARICOPA,HYDROCODONE,3.0,09152010,18.0,5.0
AZ,MARICOPA,HYDROCODONE,3.0,12092010,90.0,7.5
AZ,MARICOPA,HYDROCODONE,1.0,10192009,500.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,05292012,600.0,7.5
AZ,MARICOPA,HYDROCODONE,20.0,11012012,600.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,04182008,600.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,01222009,600.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,05262012,600.0,5.0
AZ,MARICOPA,HYDROCODONE,20.0,08012012,600.0,7.5
AZ,MARICOPA,HYDROCODONE,40.0,02172012,1200.0,7.5
AZ,MARICOPA,HYDROCODONE,20.0,12162011,600.0,7.5
AZ,MARICOPA,HYDROCODONE,40.0,07262012,1200.0,5.0
NY,OSWEGO,HYDROCODONE,2.0,03162007,200.0,7.5
NY,OSWEGO,HYDROCODONE,2.0,05182007,200.0,7.5
NY,OSWEGO,HYDROCODONE,5.0,08242007,500.0,10.0
NY,OSWEGO,HYDROCODONE,2.0,08172007,1000.0,5.0
NY,OSWEGO,HYDROCODONE,2.0,12072007,1000.0,5.0
NY,OSWEGO,HYDROCODONE,2.0,07252008,1000.0,7.5
NY,OSWEGO,HYDROCODONE,2.0,01232009,1000.0,5.0
NY,OSWEGO,HYDROCODONE,3.0,07242009,1500.0,5.0
NY,OSWEGO,HYDROCODONE,2.0,07312009,200.0,10.0
NY,OSWEGO,HYDROCODONE,7.0,07172009,700.0,10.0
NY,OSWEGO,HYDROCODONE,8.0,08212009,800.0,10.0
NY,OSWEGO,HYDROCODONE,7.0,10232009,700.0,10.0
NY,OSWEGO,HYDROCODONE,3.0,11272009,1500.0,7.5
NY,OSWEGO,HYDROCODONE,7.0,11272009,700.0,10.0
NY,OSWEGO,HYDROCODONE,1.0,01222010,500.0,10.0
NY,OSWEGO,HYDROCODONE,5.0,01152010,500.0,10.0
NY,OSWEGO,HYDROCODONE,5.0,04302010,500.0,7.5
NY,OSWEGO,HYDROCODONE,10.0,04022010,1000.0,10.0
NY,OSWEGO,HYDROCODONE,15.0,06112010,1500.0,10.0
NY,OSWEGO,HYDROCODONE,4.0,10152010,2000.0,5.0
