state_abr,fips,county,square_km,lat,lng
NE,3137,Colfax,"1.078,77",41.574675,-97.089455
NE,31179,Wayne,"1.148,23",42.210746,-97.126243
NE,31151,Saline,"1.492,63",40.516802,-97.131755
NE,3123,Butler,"1.530,19",41.226072,-97.13204
NE,31159,Seward,"1.491,54",40.871944,-97.140383
NE,3195,Jefferson,"1.490,98",40.175736,-97.143103
NE,31167,Stanton,"1.116,29",41.904793,-97.174724
NE,3127,Cedar,"1.931,73",42.604511,-97.256824
NE,31141,Platte,"1.773,08",41.576866,-97.513467
NE,31143,Polk,"1.141,26",41.187925,-97.570663
NE,31169,Thayer,"1.489,18",40.173845,-97.596263
NE,3159,Fillmore,"1.493,19",40.52504,-97.596705
NE,31185,York,"1.491,39",40.873056,-97.596742
NE,31119,Madison,"1.490,41",41.909929,-97.606856
NE,31139,Pierce,"1.488,19",42.271413,-97.610992
NE,31107,Knox,"2.951,87",42.634405,-97.891349
NE,31125,Nance,"1.160,91",41.402386,-97.991408
NE,3181,Hamilton,"1.416,78",40.877145,-98.021943
NE,31121,Merrick,"1.280,74",41.169801,-98.031051
NE,31129,Nuckolls,"1.491,36",40.176492,-98.046842
NE,3135,Clay,"1.485,46",40.523669,-98.05105
NE,313,Antelope,"2.223,74",42.183225,-98.058037
NE,3111,Boone,"1.779,88",41.7054,-98.066794
NE,3179,Hall,"1.430,05",40.866023,-98.498004
NE,31181,Webster,"1.489,36",40.180646,-98.49859
NE,311,Adams,"1.461,35",40.520632,-98.500044
NE,3193,Howard,"1.490,78",41.219403,-98.513303
NE,31183,Wheeler,"1.490,78",41.937859,-98.522289
NE,3177,Greeley,"1.477,99",41.5676,-98.530566
NE,3115,Boyd,"1.410,33",42.894448,-98.773022
NE,3189,Holt,"6.261,29",42.459287,-98.784766
NE,3171,Garfield,"1.479,88",41.905572,-98.922998
NE,3199,Kearney,"1.337,34",40.506269,-98.948461
NE,3161,Franklin,"1.491,84",40.183203,-98.96208
NE,31163,Sherman,"1.480,55",41.218743,-98.972849
NE,31175,Valley,"1.477,48",41.564094,-98.983484
NE,3119,Buffalo,"2.526,27",40.855226,-99.074983
NE,3183,Harlan,"1.486,81",40.178766,-99.403418
NE,31137,Phelps,"1.399,70",40.516365,-99.406557
NE,31149,Rock,"2.620,34",42.413325,-99.45853
NE,31115,Loup,"1.479,14",41.897714,-99.509764
NE,31103,Keya Paha,"2.004,44",42.87548,-99.718351
NE,3141,Custer,"6.671,50",41.393893,-99.726866
NE,3147,Dawson,"2.640,32",40.867378,-99.815154
NE,3173,Gosper,"1.198,45",40.509838,-99.824078
NE,3165,Furnas,"1.866,46",40.191991,-99.909661
NE,3117,Brown,"3.173,05",42.34939,-99.923176
NE,319,Blaine,"1.850,60",41.92523,-99.990771
NE,3163,Frontier,"2.538,39",40.530947,-100.406683
NE,31113,Logan,"1.479,21",41.542156,-100.443665
NE,31145,Red Willow,"1.859,63",40.16942,-100.468576
NE,31171,Thomas,"1.849,30",41.84862,-100.506911
NE,31111,Lincoln,"6.669,55",41.050322,-100.744481
NE,3187,Hitchcock,"1.860,85",40.176896,-101.044217
NE,3185,Hayes,"1.847,39",40.535786,-101.05558
NE,31117,McPherson,"2.227,42",41.596473,-101.060237
