state_abr,fips,county,square_km,lat,lng
OK,4095,Marshall,"1.105,76",34.027007,-96.770533
OK,4081,Lincoln,"2.501,10",35.703118,-96.881392
OK,40125,Pottawatomie,"2.054,90",35.211393,-96.957007
OK,40119,Payne,"1.805,15",36.079225,-96.975255
OK,4099,Murray,"1.100,99",34.485766,-97.071557
OK,4071,Kay,"2.447,45",36.814842,-97.143755
OK,40103,Noble,"1.923,16",36.384901,-97.236335
OK,4085,Love,"1.378,89",33.957775,-97.245124
OK,4019,Carter,"2.159,44",34.251848,-97.287927
OK,4049,Garvin,"2.107,45",34.70935,-97.312723
OK,4027,Cleveland,"1.445,44",35.203117,-97.328332
OK,40109,Oklahoma,"1.860,58",35.554611,-97.409401
OK,4087,McClain,"1.502,85",35.016414,-97.449811
OK,4083,Logan,"1.939,45",35.914151,-97.450764
OK,4047,Garfield,"2.745,56",36.378273,-97.787729
OK,4053,Grant,"2.599,27",36.788254,-97.788151
OK,4067,Jefferson,"2.004,86",34.105092,-97.838814
OK,40137,Stephens,"2.308,62",34.481361,-97.855607
OK,4051,Grady,"2.861,68",35.021058,-97.88689
OK,4073,Kingfisher,"2.346,57",35.949431,-97.934568
OK,4017,Canadian,"2.345,50",35.543416,-97.979836
OK,403,Alfalfa,"2.282,65",36.729703,-98.323445
OK,4033,Cotton,"1.662,66",34.290676,-98.373438
OK,4015,Caddo,"3.341,57",35.16792,-98.381045
OK,4011,Blaine,"2.431,46",35.877782,-98.428934
OK,4031,Comanche,"2.806,78",34.662628,-98.476597
OK,4093,Major,"2.481,06",36.313119,-98.542015
OK,40151,Woods,"3.340,99",36.765141,-98.868967
OK,40141,Tillman,"2.277,12",34.371085,-98.931701
OK,4075,Kiowa,"2.669,51",34.921489,-98.981617
OK,40149,Washita,"2.612,77",35.290177,-98.991962
OK,4039,Custer,"2.595,35",35.645601,-98.997386
OK,4043,Dewey,"2.611,32",35.978433,-99.014094
OK,40153,Woodward,"3.227,49",36.425619,-99.273661
OK,4065,Jackson,"2.082,97",34.593949,-99.41221
OK,4055,Greer,"1.667,00",34.935263,-99.552968
OK,4059,Harper,"2.696,30",36.800456,-99.662842
OK,409,Beckham,"2.341,19",35.273945,-99.671638
OK,40129,Roger Mills,"2.969,22",35.708554,-99.741572
OK,4045,Ellis,"3.190,56",36.224258,-99.750139
OK,4057,Harmon,"1.395,13",34.745971,-99.844194
OK,407,Beaver,"4.707,33",36.748334,-100.483056
OK,40139,Texas,"5.306,06",36.741964,-101.488434
OK,4025,Cimarron,"4.767,87",36.755276,-102.508735
OR,4163,Wallowa,"8.162,79",45.593753,-117.18558
OR,4145,Malheur,"25.717,81",43.1877,-117.603976
OR,411,Baker,"7.998,84",44.703427,-117.691933
OR,4161,Union,"5.279,78",45.304047,-117.999136
OR,4159,Umatilla,"8.369,30",45.5912,-118.73388
OR,4125,Harney,"26.486,28",43.064355,-118.985949
OR,4123,Grant,"11.730,76",44.496326,-119.014057
OR,4149,Morrow,"5.305,62",45.425496,-119.602311
OR,4169,Wheeler,"4.442,42",44.736411,-120.026875
OR,4121,Gilliam,"3.167,14",45.381666,-120.211851
OR,4113,Crook,"7.736,99",44.163054,-120.371585
OR,4137,Lake,"21.647,79",42.788401,-120.38979
OR,4155,Sherman,"2.152,76",45.399216,-120.678512
OR,4165,Wasco,"6.204,05",45.164536,-121.165069
OR,4131,Jefferson,"4.638,44",44.64379,-121.183021
OR,4117,Deschutes,"7.911,81",43.915118,-121.225575
OR,4135,Klamath,"15.891,00",42.683761,-121.646168
OR,4127,Hood River,"1.380,95",45.511775,-121.655976
OR,415,Clackamas,"4.875,94",45.160493,-122.195127
OR,4151,Multnomah,"1.205,91",45.547693,-122.417173
OR,4143,Linn,"5.980,18",44.494824,-122.543756
OR,4147,Marion,"3.088,57",44.900898,-122.57626
OR,4129,Jackson,"7.256,24",42.411782,-122.675797
OR,4139,Lane,"12.229,58",43.928276,-122.897678
OR,419,Columbia,"1.782,77",45.941932,-123.081079
OR,4167,Washington,"1.881,42",45.553542,-123.097615
OR,4119,Douglas,"13.296,39",43.285904,-123.15438
OR,4171,Yamhill,"1.860,50",45.248138,-123.316117
OR,4153,Polk,"1.926,73",44.904395,-123.397329
OR,413,Benton,"1.757,60",44.490623,-123.426317
OR,4133,Josephine,"4.252,36",42.385382,-123.597245
OR,417,Clatsop,"2.808,54",46.024509,-123.705014
OR,4157,Tillamook,"3.451,84",45.455743,-123.759327
OR,4141,Lincoln,"3.091,89",44.641076,-123.911183
OR,4111,Coos,"4.678,46",43.184193,-124.092557
OR,4115,Curry,"5.149,79",42.466671,-124.211407
PA,42103,Pike,"1.468,13",41.325949,-75.031514
PA,4217,Bucks,"1.610,65",40.336887,-75.10706
PA,42101,Philadelphia,"369,611",40.009376,-75.133346
PA,42127,Wayne,"1.944,08",41.646589,-75.292485
PA,4295,Northampton,"977,451",40.752791,-75.307447
PA,4289,Monroe,"1.598,69",41.056233,-75.329037
PA,4291,Montgomery,"1.261,83",40.209999,-75.370201
PA,4245,Delaware,"493,661",39.91667,-75.398786
PA,4277,Lehigh,"901,936",40.614241,-75.590627
PA,4269,Lackawanna,"1.204,11",41.44025,-75.609587
PA,4225,Carbon,"1.003,33",40.917833,-75.709428
PA,4229,Chester,"1.966,41",39.973965,-75.749732
PA,42115,Susquehanna,"2.155,24",41.819665,-75.800969
PA,4211,Berks,"2.242,30",40.413957,-75.92686
PA,4279,Luzerne,"2.347,21",41.172787,-75.976035
PA,42131,Wyoming,"1.049,08",41.525137,-76.00878
PA,42107,Schuylkill,"2.027,48",40.70369,-76.2178
PA,4271,Lancaster,"2.548,04",40.041992,-76.250198
PA,4237,Columbia,"1.269,51",41.045517,-76.40426
PA,4275,Lebanon,"938,866",40.367344,-76.458009
PA,4215,Bradford,"3.007,03",41.791495,-76.502124
PA,42113,Sullivan,"1.171,96",41.43979,-76.511525
PA,4293,Montour,"342,734",41.029261,-76.665259
PA,4297,Northumberland,"1.236,78",40.851524,-76.709877
PA,42133,York,"2.358,76",39.921839,-76.728446
PA,4243,Dauphin,"1.445,67",40.412565,-76.792634
PA,4281,Lycoming,"3.221,52",41.343624,-77.055253
PA,42119,Union,"823,038",40.962179,-77.055475
PA,42109,Snyder,"858,636",40.755348,-77.072954
PA,421,Adams,"1.351,42",39.869471,-77.21773
PA,42117,Tioga,"2.944,73",41.766859,-77.257288
PA,4241,Cumberland,"1.425,28",40.164782,-77.26344
PA,4299,Perry,"1.438,83",40.39778,-77.266328
PA,4267,Juniata,"1.019,20",40.530673,-77.400438
PA,4287,Mifflin,"1.074,11",40.61189,-77.620661
PA,4235,Clinton,"2.323,05",41.245301,-77.649141
PA,4255,Franklin,"2.001,60",39.926686,-77.724485
PA,4227,Centre,"2.882,56",40.90916,-77.84783
PA,42105,Potter,"2.801,17",41.748222,-77.894735
PA,4261,Huntingdon,"2.303,19",40.422321,-77.968584
PA,4257,Fulton,"1.134,56",39.910751,-78.122617
PA,4223,Cameron,"1.031,90",41.438289,-78.198315
PA,4213,Blair,"1.365,10",40.497926,-78.31064
PA,4233,Clearfield,"2.988,75",41.000249,-78.473749
PA,429,Bedford,"2.633,77",39.997115,-78.48998
PA,4283,McKean,"2.549,12",41.81459,-78.572463
PA,4247,Elk,"2.155,67",41.427334,-78.653938
PA,4221,Cambria,"1.796,50",40.494127,-78.715284
PA,4265,Jefferson,"1.701,11",41.130287,-78.999044
PA,42111,Somerset,"2.799,60",39.981297,-79.028486
PA,4263,Indiana,"2.160,81",40.651432,-79.087545
PA,4253,Forest,"1.114,98",41.513304,-79.249705
PA,42123,Warren,"2.327,27",41.843669,-79.313173
PA,4231,Clarion,"1.579,49",41.198239,-79.420404
PA,425,Armstrong,"1.719,34",40.812379,-79.464128
PA,42129,Westmoreland,"2.683,42",40.311068,-79.466688
PA,4251,Fayette,"2.067,61",39.914115,-79.644586
PA,42121,Venango,"1.768,54",41.40198,-79.754418
PA,4219,Butler,"2.058,40",40.913834,-79.91896
PA,423,Allegheny,"1.928,30",40.46892,-79.98092
PA,4249,Erie,"4.035,80",42.117952,-80.096386
PA,4239,Crawford,"2.687,15",41.68684,-80.107811
PA,4259,Greene,"1.496,96",39.848983,-80.225694
PA,42125,Washington,"2.229,74",40.200005,-80.252132
PA,4285,Mercer,"1.767,94",41.300014,-80.252786
PA,4273,Lawrence,"939,428",40.992735,-80.334446
PA,427,Beaver,"1.150,07",40.68414,-80.350721
RI,445,Newport,"812,205",41.502732,-71.284063
RI,441,Bristol,"115,901",41.705271,-71.285053
RI,443,Kent ,"487,236",41.67775,-71.576314
RI,447,Providence,"1.128,34",41.870488,-71.578242
RI,449,Washington,"1.457,55",41.401162,-71.617612
SC,4551,Horry,"3.250,44",33.909269,-78.976675
SC,4543,Georgetown,"2.679,72",33.41753,-79.300812
SC,4567,Marion,"1.279,81",34.080701,-79.362131
SC,4533,Dillon,"1.053,07",34.390172,-79.374964
SC,4569,Marlboro,"1.256,85",34.601805,-79.677942
SC,4541,Florence,"2.081,64",34.028535,-79.710233
SC,4589,Williamsburg,"2.426,93",33.626463,-79.716475
SC,4519,Charleston,"3.517,19",32.800458,-79.94248
SC,4515,Berkeley,"3.183,71",33.2077,-79.953655
SC,4531,Darlington,"1.468,02",34.332185,-79.962116
SC,4525,Chesterfield,"2.086,87",34.637018,-80.159227
SC,4527,Clarendon,"1.801,73",33.664682,-80.217889
SC,4561,Lee,"1.065,09",34.15864,-80.251209
SC,4585,Sumter,"1.766,59",33.916046,-80.382472
SC,4535,Dorchester,"1.491,33",33.082186,-80.404697
SC,4555,Kershaw,"1.917,62",34.338356,-80.590885
SC,4529,Colleton,"2.935,20",32.83498,-80.655345
SC,4513,Beaufort,"2.391,59",32.358147,-80.68932
SC,4557,Lancaster,"1.437,76",34.686818,-80.703689
SC,4517,Calhoun,"1.016,53",33.67478,-80.780347
SC,4575,Orangeburg,"2.921,25",33.436135,-80.802913
SC,4579,Richland,"1.998,72",34.029783,-80.896566
SC,4553,Jasper,"1.811,34",32.43059,-81.021627
SC,459,Bamberg,"1.024,50",33.203021,-81.053161
SC,4539,Fairfield,"1.838,59",34.395669,-81.127001
SC,4549,Hampton,"1.457,40",32.778323,-81.143362
SC,4523,Chester,"1.518,16",34.689345,-81.161249
SC,4591,York,"1.802,13",34.97019,-81.183189
SC,4563,Lexington,"1.962,51",33.892554,-81.272853
SC,455,Allendale,"1.068,16",32.979784,-81.363421
SC,4511,Barnwell,"1.443,30",33.26068,-81.433753
SC,4571,Newberry,"1.676,46",34.28973,-81.600053
SC,4521,Cherokee,"1.028,69",35.049796,-81.607647
SC,4587,Union,"1.336,50",34.690514,-81.615831
SC,453,Aiken,"2.798,73",33.549317,-81.63387
SC,4581,Saluda,"1.196,11",34.005278,-81.727903
SC,4537,Edgefield,"1.312,35",33.776498,-81.968245
SC,4583,Spartanburg,"2.121,83",34.933239,-81.991053
SC,4559,Laurens,"1.874,73",34.483477,-82.005657
SC,4547,Greenwood,"1.198,97",34.155796,-82.127876
SC,4565,McCormick,"1.020,13",33.897605,-82.316192
SC,4545,Greenville,"2.058,69",34.892645,-82.372077
SC,451,Abbeville,"1.323,46",34.213809,-82.46046
SC,457,Anderson,"1.961,75",34.519549,-82.638086
SC,4577,Pickens,"1.326,15",34.887362,-82.725368
SC,4573,Oconee,"1.744,39",34.748759,-83.061522
SD,46127,Union,"1.209,86",42.831106,-96.650829
SD,46101,Moody,"1.348,88",44.012429,-96.676054
SD,4639,Deuel,"1.648,82",44.75629,-96.690239
SD,4683,Lincoln,"1.496,36",43.27942,-96.722286
SD,4651,Grant,"1.780,71",45.172637,-96.772261
SD,4699,Minnehaha,"2.107,90",43.667472,-96.795726
SD,4611,Brookings,"2.084,77",44.376675,-96.797797
SD,46109,Roberts,"2.941,63",45.623397,-96.947551
SD,4627,Clay,"1.080,63",42.912997,-96.979795
SD,4679,Lake,"1.489,66",44.02845,-97.123223
SD,46125,Turner,"1.599,82",43.30867,-97.150185
SD,4657,Hamlin,"1.393,60",44.680619,-97.178598
SD,4629,Codington,"1.857,45",44.966324,-97.198843
SD,4687,McCook,"1.494,08",43.678924,-97.362036
SD,46135,Yankton,"1.378,44",43.006607,-97.388339
SD,4677,Kingsbury,"2.237,14",44.362969,-97.499313
SD,4691,Marshall,"2.295,31",45.737054,-97.580884
SD,4637,Day,"2.825,92",45.362283,-97.593734
SD,4697,Miner,"1.481,30",44.017327,-97.60979
SD,4625,Clark,"2.505,81",44.855211,-97.724912
SD,4667,Hutchinson,"2.109,34",43.33671,-97.749383
SD,4661,Hanson,"1.127,62",43.680612,-97.796845
SD,469,Bon Homme,"1.506,50",42.986031,-97.885613
SD,46111,Sanborn,"1.477,53",44.021032,-98.092105
SD,4635,Davison,"1.131,62",43.680439,-98.155868
SD,465,Beadle,"3.275,85",44.418265,-98.279422
SD,46115,Spink,"3.910,21",44.931034,-98.339644
SD,4613,Brown,"4.483,14",45.589254,-98.352175
SD,4643,Douglas,"1.123,20",43.391506,-98.358433
SD,463,Aurora,"1.846,01",43.724719,-98.577587
SD,4623,Charles Mix,"2.979,09",43.206185,-98.595143
SD,4673,Jerauld,"1.379,61",44.063416,-98.623188
SD,4659,Hand,"3.730,05",44.546713,-99.004575
SD,4615,Brule,"2.192,36",43.72988,-99.092941
SD,4649,Faulk,"2.605,43",45.065476,-99.153564
SD,4653,Gregory,"2.728,63",43.179094,-99.202158
SD,4617,Buffalo,"1.263,24",44.044306,-99.203998
SD,4645,Edmunds,"2.981,25",45.41168,-99.205362
SD,4689,McPherson,"2.982,46",45.784249,-99.211421
SD,4669,Hyde,"2.243,29",44.537301,-99.492148
SD,4685,Lyman,"4.420,27",43.894812,-99.841925
SD,46123,Tripp,"4.189,49",43.349729,-99.876219
SD,46107,Potter,"2.327,53",45.064276,-99.949631
SD,4665,Hughes,"2.073,89",44.392258,-99.985846
SD,46129,Walworth,"1.928,56",45.427605,-100.027856
SD,4621,Campbell,"1.996,46",45.782241,-100.027951
SD,46119,Sully,"2.772,03",44.722325,-100.131399
SD,4675,Jones,"2.514,60",43.95199,-100.686139
SD,46121,Todd [12],"3.602,20",43.208172,-100.717204
SD,46117,Stanley,"3.929,45",44.415547,-100.749163
SD,4695,Mellette,"3.395,13",43.58493,-100.760598
SD,4641,Dewey,"6.333,26",45.150005,-100.852218
SD,4631,Corson,"6.551,76",45.69834,-101.176017
SD,4655,Haakon,"4.731,71",44.284312,-101.59179
SD,4671,Jackson,"4.846,61",43.677294,-101.626455
SD,46137,Ziebach,"5.103,88",44.981666,-101.669225
SD,467,Bennett,"3.083,39",43.184826,-101.676426
SD,46105,Perkins,"7.485,04",45.483387,-102.467995
SD,46102,Oglala Lakota[11],"5.430,30",43.341937,-102.55948
SD,4693,Meade,"9.020,54",44.606792,-102.715864
SD,46103,Pennington,"7.211,21",44.002349,-102.823802
SD,4633,Custer,"4.038,10",43.684943,-103.46225
SD,4663,Harding,"6.935,79",45.596612,-103.473867
SD,4619,Butte,"5.869,94",44.896435,-103.501762
SD,4647,Fall River,"4.530,27",43.221504,-103.512102
SD,4681,Lawrence,"2.072,80",44.353669,-103.796528
TN,4791,Johnson,"784,048",36.453204,-81.861237
TN,4719,Carter,"900,368",36.284744,-82.126593
TN,47163,Sullivan,"1.112,94",36.510212,-82.299397
TN,47171,Unicoi,"483,016",36.100215,-82.418245
TN,47179,Washington,"854,173",36.295665,-82.495037
TN,4759,Greene,"1.616,46",36.178998,-82.847746
TN,4773,Hawkins,"1.293,95",36.452206,-82.931386
TN,4729,Cocke,"1.147,72",35.916198,-83.119223
TN,4767,Hancock,"578,842",36.52142,-83.227453
TN,4763,Hamblen,"455,329",36.218397,-83.266071
TN,4789,Jefferson,"814,045",36.048479,-83.440966
TN,4757,Grainger,"783,367",36.277463,-83.509493
TN,47155,Sevier,"1.548,08",35.791284,-83.521955
TN,4725,Claiborne,"1.143,67",36.501557,-83.660724
TN,47173,Union,"640,083",36.28414,-83.836088
TN,479,Blount,"1.467,35",35.688185,-83.922973
TN,4793,Knox,"1.361,99",35.992727,-83.937721
TN,4713,Campbell,"1.290,19",36.401592,-84.15925
TN,471,Anderson,"893,017",36.116731,-84.195418
TN,47123,Monroe,"1.690,12",35.447666,-84.249786
TN,47105,Loudon,"640,685",35.73745,-84.316204
TN,47151,Scott,"1.381,06",36.437239,-84.498386
TN,47145,Roane,"1.022,99",35.847472,-84.523861
TN,47139,Polk,"1.145,64",35.109437,-84.541112
TN,47107,McMinn,"1.119,35",35.424471,-84.619963
TN,47129,Morgan,"1.353,25",36.138697,-84.639262
TN,47121,Meigs,"561,376",35.503397,-84.823888
TN,4711,Bradley,"858,448",35.153914,-84.859414
TN,4749,Fentress,"1.292,23",36.376079,-84.932703
TN,47143,Rhea,"871,286",35.600587,-84.949552
TN,4735,Cumberland,"1.773,67",35.952398,-84.994761
TN,47137,Pickett,"451,936",36.559364,-85.075741
TN,4765,Hamilton,"1.491,52",35.159186,-85.202296
TN,477,Bledsoe,"1.053,47",35.593668,-85.205979
TN,47133,Overton,"1.126,22",36.34485,-85.283076
TN,47153,Sequatchie,"689,049",35.372335,-85.410344
TN,47185,White,"982,707",35.927062,-85.455766
TN,47175,Van Buren,"711,036",35.699245,-85.458411
TN,47141,Putnam,"1.042,64",36.140807,-85.496928
TN,4727,Clay,"671,698",36.545765,-85.545718
TN,47115,Marion,"1.326,73",35.133422,-85.618399
TN,4787,Jackson,"827,565",36.354242,-85.674182
TN,4761,Grundy,"935,301",35.387273,-85.722188
TN,47177,Warren,"1.124,14",35.678282,-85.777363
TN,4741,DeKalb,"852,07",35.98222,-85.833596
TN,47159,Smith,"842,711",36.25565,-85.942078
TN,47111,Macon,"795,745",36.537838,-86.001231
TN,4715,Cannon,"688,149",35.808394,-86.062404
TN,4731,Coffee,"1.125,49",35.488759,-86.078219
TN,4751,Franklin,"1.491,15",35.155926,-86.099203
TN,47169,Trousdale,"302,104",36.39303,-86.156691
TN,47189,Wilson,"1.510,47",36.148476,-86.29021
TN,47127,Moore,"337,778",35.288889,-86.358684
TN,47149,Rutherford,"1.616,29",35.843369,-86.417213
TN,473,Bedford,"1.229,69",35.51366,-86.458294
TN,47165,Sumner,"1.406,93",36.470015,-86.458517
TN,47103,Lincoln,"1.478,16",35.142532,-86.593388
TN,47117,Marshall,"974,239",35.468387,-86.765886
TN,4737,Davidson,"1.362,19",36.169129,-86.78479
TN,47147,Robertson,"1.234,03",36.52753,-86.869377
TN,47187,Williamson,"1.511,95",35.894972,-86.896958
TN,4755,Giles,"1.582,94",35.202723,-87.035319
TN,47119,Maury,"1.594,34",35.615696,-87.077763
TN,4721,Cheatham,"795,272",36.25518,-87.100816
TN,4743,Dickson,"1.272,51",36.145533,-87.364155
TN,47125,Montgomery,"1.408,51",36.500354,-87.380887
TN,4799,Lawrence,"1.600,59",35.220476,-87.396546
TN,4781,Hickman,"1.586,70",35.802396,-87.467114
TN,47101,Lewis,"731,64",35.523244,-87.496983
TN,4783,Houston,"536,062",36.285777,-87.705605
TN,4785,Humphreys,"1.441,85",36.04044,-87.790625
TN,47181,Wayne,"1.905,33",35.242687,-87.819703
TN,47161,Stewart,"1.276,89",36.511756,-87.851548
TN,47135,Perry,"1.095,23",35.659785,-87.877027
TN,475,Benton,"1.129,83",36.069253,-88.071212
TN,4739,Decatur,"893,243",35.603422,-88.107384
TN,4771,Hardin,"1.544,40",35.201893,-88.185696
TN,4779,Henry,"1.536,94",36.325398,-88.300384
TN,4777,Henderson,"1.362,03",35.653995,-88.387674
TN,4717,Carroll,"1.554,20",35.967896,-88.451659
TN,47109,McNairy,"1.459,75",35.175626,-88.564671
TN,4723,Chester,"740,628",35.416639,-88.605505
TN,47183,Weakley,"1.506,82",36.303523,-88.720785
TN,47113,Madison,"1.446,84",35.606056,-88.833424
TN,4753,Gibson,"1.563,45",35.991694,-88.933776
TN,4769,Hardeman,"1.736,28",35.218131,-88.989037
TN,4733,Crockett,"688,261",35.811312,-89.135349
TN,47131,Obion,"1.438,76",36.358175,-89.150175
TN,4775,Haywood,"1.383,21",35.58669,-89.282536
TN,4745,Dyer,"1.363,70",36.054196,-89.398306
TN,4747,Fayette,"1.829,15",35.196993,-89.413803
TN,4795,Lake,"502,181",36.333905,-89.485537
TN,4797,Lauderdale,"1.314,63",35.762951,-89.627732
TN,47167,Tipton,"1.225,88",35.500297,-89.763708
TN,47157,Shelby,"2.033,19",35.183794,-89.895397
TX,48351,Newton,"2.433,89",30.786718,-93.73925
TX,48403,Sabine,"1.493,52",31.3433,-93.851913
TX,48361,Orange,"982,977",30.120918,-93.893358
TX,48241,Jasper,"2.511,51",30.752932,-94.022294
TX,48419,Shelby,"2.161,65",31.790137,-94.142565
TX,48245,Jefferson,"2.881,75",29.854,-94.149331
TX,48405,San Augustine,"1.534,04",31.382449,-94.16318
TX,48365,Panola,"2.127,17",32.163978,-94.305156
TX,4867,Cass,"2.487,22",33.083698,-94.357579
TX,48315,Marion,"1.088,63",32.797757,-94.357673
TX,48203,Harrison,"2.371,79",32.547993,-94.374425
TX,48457,Tyler,"2.423,25",30.769579,-94.379449
TX,48199,Hardin,"2.324,65",30.329612,-94.393149
TX,4837,Bowie,"2.390,47",33.446051,-94.422375
TX,485,Angelina,"2.239,58",31.251951,-94.611056
TX,48347,Nacogdoches,"2.541,27",31.62056,-94.62025
TX,4871,Chambers,"2.256,35",29.703933,-94.668875
TX,48343,Morris,"670,031",33.116466,-94.731265
TX,48401,Rusk,"2.430,46",32.109423,-94.756382
TX,48183,Gregg,"714,224",32.486397,-94.816276
TX,48291,Liberty,"3.046,70",30.162189,-94.822682
TX,48373,Polk,"2.874,01",30.784553,-94.837338
TX,48167,Galveston,"2.263,15",29.228706,-94.894865
TX,48459,Upshur,"1.534,82",32.735878,-94.941649
TX,48449,Titus,"1.102,41",33.214599,-94.966783
TX,4863,Camp,"526,372",32.974581,-94.979085
TX,48387,Red River,"2.736,93",33.619626,-95.048429
TX,48455,Trinity,"1.849,17",31.087483,-95.153291
TX,4873,Cherokee,"2.751,06",31.843859,-95.156504
TX,48407,San Jacinto,"1.626,28",30.574218,-95.162852
TX,48159,Franklin,"763,445",33.175846,-95.219066
TX,48423,Smith,"2.459,77",32.377093,-95.26963
TX,48499,Wood,"1.801,90",32.783588,-95.382166
TX,48201,Harris,"4.603,66",29.857273,-95.393037
TX,48225,Houston,"3.202,71",31.323036,-95.4216
TX,4839,Brazoria,"4.166,22",29.167818,-95.434647
TX,48339,Montgomery,"2.789,10",30.302364,-95.503523
TX,48223,Hopkins,"2.053,27",33.148959,-95.565194
TX,48471,Walker,"2.075,89",30.74309,-95.569888
TX,48277,Lamar,"2.416,73",33.667263,-95.570348
TX,481,Anderson,"2.792,01",31.841266,-95.661744
TX,48119,Delta,"719,84",33.385933,-95.67335
TX,48157,Fort Bend,"2.293,02",29.526602,-95.771015
TX,48379,Rains,"670,36",32.87058,-95.79544
TX,48467,Van Zandt,"2.226,38",32.558948,-95.836391
TX,48213,Henderson,"2.456,17",32.211633,-95.853418
TX,48313,Madison,"1.223,60",30.966878,-95.930372
TX,48473,Waller,"1.341,14",30.013578,-95.982102
TX,48185,Grimes,"2.076,14",30.543231,-95.988082
TX,48289,Leon,"2.798,79",31.300493,-95.995622
TX,48321,Matagorda,"4.176,38",28.783341,-95.997755
TX,48231,Hunt,"2.284,43",33.123438,-96.083807
TX,48147,Fannin,"2.328,10",33.591161,-96.104988
TX,48161,Freestone,"2.310,25",31.701654,-96.144237
TX,48481,Wharton,"2.834,40",29.278481,-96.229675
TX,4815,Austin,"1.700,03",29.891901,-96.27017
TX,48257,Kaufman,"2.091,83",32.598944,-96.288378
TX,4841,Brazos,"1.531,30",30.656725,-96.302389
TX,48397,Rockwall,"385,175",32.889216,-96.407501
TX,48477,Washington,"1.610,33",30.215075,-96.410272
TX,48349,Navarro,"2.812,56",32.04845,-96.476908
TX,4889,Colorado,"2.521,83",29.595908,-96.508389
TX,48395,Robertson,"2.241,26",31.025481,-96.514941
TX,4885,Collin,"2.295,00",33.193885,-96.578153
TX,4857,Calhoun,"2.674,62",28.445366,-96.5833
TX,48239,Jackson,"2.219,29",28.959802,-96.58908
TX,48293,Limestone,"2.416,88",31.547543,-96.593623
TX,4851,Burleson,"1.752,94",30.493487,-96.622091
TX,48181,Grayson,"2.536,06",33.624508,-96.675699
TX,48113,Dallas,"2.353,30",32.766987,-96.778424
TX,48139,Ellis,"2.465,02",32.347279,-96.798336
TX,48149,Fayette,"2.485,89",29.877886,-96.921231
TX,48285,Lavaca,"2.513,42",29.382578,-96.923633
TX,48145,Falls,"2.004,24",31.25193,-96.934128
TX,48469,Victoria,"2.302,07",28.79637,-96.971198
TX,48287,Lee,"1.642,31",30.321105,-96.976365
TX,487,Aransas,"1.367,49",28.104225,-96.977983
TX,48331,Milam,"2.646,38",30.791242,-96.984395
TX,48121,Denton,"2.468,20",33.205005,-97.119046
TX,48217,Hill,"2.553,00",31.98224,-97.129886
TX,48391,Refugio,"2.119,24",28.312496,-97.160479
TX,48309,McLennan,"2.745,99",31.549493,-97.201472
TX,4897,Cooke,"2.326,95",33.639169,-97.210372
TX,48439,Tarrant,"2.336,96",32.77204,-97.291291
TX,4821,Bastrop,"2.319,45",30.103128,-97.311859
TX,48123,DeWitt,"2.358,16",29.082342,-97.361656
TX,48251,Johnson,"1.902,25",32.379511,-97.364823
TX,48175,Goliad,"2.225,76",28.6607,-97.430415
TX,48177,Gonzales,"2.770,91",29.468704,-97.477738
TX,4861,Cameron,"3.306,01",26.102923,-97.478958
TX,4827,Bell,"2.817,48",31.04211,-97.481921
TX,48409,San Patricio,"1.833,57",28.011782,-97.517165
TX,48355,Nueces,"3.018,89",27.739406,-97.521643
TX,48489,Willacy,"2.031,24",26.481092,-97.584224
TX,48261,Kenedy,"5.039,59",26.890232,-97.591233
TX,48491,Williamson,"2.938,18",30.64903,-97.605069
TX,4855,Caldwell,"1.417,14",29.840422,-97.631097
TX,4835,Bosque,"2.596,57",31.900764,-97.637632
TX,48497,Wise,"2.389,48",33.219095,-97.653997
TX,48273,Kleberg,"2.823,62",27.438735,-97.66062
TX,48453,Travis,"2.649,58",30.239513,-97.69127
TX,48337,Montague,"2.430,12",33.676289,-97.724747
TX,4825,Bee,"2.280,06",28.416077,-97.742586
TX,48425,Somervell,"497,16",32.217942,-97.769211
TX,4899,Coryell,"2.736,99",31.391177,-97.798022
TX,48367,Parker,"2.357,13",32.777096,-97.805905
TX,48221,Hood,"1.131,38",32.430149,-97.831677
TX,48255,Karnes,"1.951,68",28.907618,-97.860767
TX,48187,Guadalupe,"1.851,36",29.583208,-97.949027
TX,48209,Hays,"1.760,99",30.061225,-98.029267
TX,48493,Wilson,"2.093,77",29.174303,-98.085899
TX,48249,Jim Wells,"2.248,99",27.733516,-98.090814
TX,48193,Hamilton,"2.166,25",31.706982,-98.111794
TX,48297,Live Oak,"2.794,29",28.351535,-98.126961
TX,48237,Jack,"2.383,12",33.232277,-98.171902
TX,48215,Hidalgo,"4.099,71",26.396384,-98.18099
TX,4853,Burnet,"2.645,06",30.789616,-98.201195
TX,4877,Clay,"2.892,38",33.785904,-98.212918
TX,4847,Brooks,"2.444,04",27.034994,-98.215276
TX,48143,Erath,"2.822,59",32.238136,-98.222377
TX,48281,Lampasas,"1.849,08",31.196731,-98.240889
TX,4891,Comal,"1.488,93",29.803019,-98.255201
TX,48363,Palo Pinto,"2.552,46",32.75221,-98.317974
TX,4831,Blanco,"1.847,77",30.265605,-98.399977
TX,48131,Duval,"4.650,57",27.681123,-98.497393
TX,4829,Bexar,"3.253,25",29.448671,-98.520147
TX,4813,Atascosa,"3.163,60",28.894296,-98.528187
TX,4893,Comanche,"2.454,49",31.951645,-98.549617
